Date,Open,High,Low,Close,Adj Close,Volume
1997-04-02,12.250006,12.250006,12.250006,12.250006,5.359205,799
1997-04-03,13.437506,13.437506,13.125006,13.312506,5.824032,92799
1997-04-04,14.000007,14.206257,13.762506,14.193757,6.209569,264799
1997-04-07,14.206257,14.206257,13.781256,13.850006,6.059180,131999
1997-04-08,13.850006,13.850006,13.850006,13.850006,6.059180,0
1997-04-09,15.125007,15.231257,15.000007,15.231257,6.663457,365599
1997-04-10,15.125007,16.218758,14.506257,15.212507,6.655257,331199
1997-04-11,14.875007,15.500007,14.687507,14.900007,6.518542,188799
1997-04-14,14.900007,14.900007,14.900007,14.900007,6.518542,0
1997-04-15,15.250007,15.562507,14.250007,14.531257,6.357218,266399
1997-04-16,14.531257,14.531257,14.531257,14.531257,6.357218,0
1997-04-17,15.037507,15.468757,14.750007,15.237507,6.666192,607199
1997-04-18,15.237507,15.237507,15.237507,15.237507,6.666192,0
1997-04-21,15.625007,15.625007,15.012507,15.281257,6.685334,49599
1997-04-22,15.312507,15.312507,14.756257,14.775007,6.463857,102399
1997-04-23,15.400007,15.400007,14.912507,15.125007,6.616975,366399
1997-04-24,14.562507,16.637508,14.562507,16.337507,7.147427,451199
1997-04-25,16.593758,17.968758,16.437508,17.506258,7.658739,495199
1997-04-28,17.500008,18.375010,17.500008,18.256260,7.986858,1503999
1997-04-29,18.318760,18.450008,17.843758,18.137508,7.934905,332799
1997-04-30,19.375010,19.950008,18.656260,19.062510,8.339579,864799
1997-05-01,19.062510,19.062510,19.062510,19.062510,8.339579,0
1997-05-02,18.881260,19.081259,18.218760,18.450008,8.071620,445599
1997-05-05,17.500008,18.337509,17.375008,17.975008,7.863812,164799
1997-05-06,18.000010,18.312510,16.206259,16.762508,7.333361,1380799
1997-05-07,17.250008,18.443760,16.625008,18.443760,8.068887,1426399
1997-05-08,18.725010,19.350010,18.468760,18.531260,8.107163,890399
1997-05-09,18.718760,18.743759,18.125010,18.556259,8.118099,146399
1997-05-12,18.250010,18.625010,17.762508,17.881258,7.822796,254399
1997-05-13,17.575008,18.212509,17.250008,17.743757,7.762642,511999
1997-05-14,18.500010,18.750010,17.893759,18.481258,8.085289,544799
1997-05-15,18.612509,19.000010,18.312510,18.718760,8.189193,449599
1997-05-16,18.743759,18.750010,18.500010,18.600010,8.137243,185599
1997-05-19,18.750010,18.962509,18.562510,18.631260,8.150911,266399
1997-05-20,18.643759,18.643759,17.750008,17.987509,7.869278,395999
1997-05-21,18.375010,18.625010,18.018759,18.118759,7.926701,136799
1997-05-22,18.237509,18.237509,17.943758,17.975008,7.863812,19999
1997-05-23,17.993757,18.118759,17.562508,17.818758,7.795455,76799
1997-05-26,17.656258,17.693758,16.381258,16.818758,7.357970,206399
1997-05-27,16.543758,16.875008,15.875007,16.387508,7.169303,204799
1997-05-28,17.000008,17.750008,16.637508,17.600008,7.699755,598399
1997-05-29,17.256258,18.125010,17.256258,18.118759,7.926701,1234399
1997-05-30,18.225010,19.750010,18.225010,19.306259,8.446216,632799
1997-06-02,19.250010,19.718760,18.881260,19.300009,8.443483,422399
1997-06-03,19.375010,19.875010,19.375010,19.725010,8.629415,1603199
1997-06-04,19.875010,20.618759,19.687510,20.237511,8.853624,1453599
1997-06-05,20.625010,21.800011,20.462509,21.743759,9.512588,1051199
1997-06-06,21.625010,23.368761,21.443760,22.562511,9.870778,1445599
1997-06-09,22.800011,22.937511,21.662510,21.900009,9.580946,403999
1997-06-10,21.818760,22.718761,21.756260,22.225012,9.723127,361599
1997-06-11,22.737511,23.181261,22.562511,22.856260,9.999289,1214399
1997-06-12,23.031261,23.125011,22.887510,23.000011,10.062181,124799
1997-06-13,23.187511,23.187511,22.437511,22.675011,9.919996,401599
1997-06-16,22.475012,22.475012,21.556259,21.612511,9.455167,47999
1997-06-17,21.000010,21.750010,19.825008,20.112511,8.798938,346399
1997-06-18,21.812510,21.812510,20.625010,20.718760,9.064165,123199
1997-06-19,20.875010,21.112511,20.500010,20.743759,9.075102,91199
1997-06-20,20.625010,20.625010,20.406260,20.562510,8.995805,27199
1997-06-23,20.500010,21.731260,20.250010,21.068760,9.217283,147999
1997-06-24,21.250010,21.343760,20.756260,20.981260,9.179004,138399
1997-06-25,21.750010,22.375011,21.737511,22.181261,9.703985,235199
1997-06-26,22.500011,22.931261,22.062511,22.400011,9.799687,181599
1997-06-27,22.625011,23.000011,22.512510,22.768761,9.961013,1614399
1997-06-30,22.562511,22.562511,22.031261,22.125011,9.679378,38399
1997-07-01,22.250011,22.250011,21.525009,21.775009,9.526258,151999
1997-07-02,22.000011,22.687511,22.000011,22.512510,9.848906,189599
1997-07-03,22.737511,23.187511,22.062511,22.118761,9.676644,40799
1997-07-04,21.943760,22.125011,20.625010,20.768761,9.086040,1055199
1997-07-07,20.250010,20.750010,18.700008,18.712509,8.186458,523199
1997-07-08,17.625008,18.100010,16.843758,17.875008,7.820063,717599
1997-07-09,18.250010,19.662510,18.250010,19.456259,8.511839,724799
1997-07-10,19.868759,19.937510,18.500010,18.568760,8.123570,264799
1997-07-11,18.743759,18.812510,18.506260,18.743759,8.200130,875999
1997-07-14,18.500010,18.675009,17.500008,17.793758,7.784516,95999
1997-07-15,17.500008,17.875008,17.437508,17.456259,7.636868,1112799
1997-07-16,18.000010,18.500010,17.500008,17.525007,7.666943,153599
1997-07-17,17.500008,17.743757,15.850007,17.012508,7.442732,1228799
1997-07-18,17.012508,17.012508,17.012508,17.012508,7.442732,0
1997-07-21,16.500008,16.875008,16.437508,16.525007,7.229457,252799
1997-07-22,16.856258,17.000008,16.387508,16.662508,7.289612,96799
1997-07-23,17.250008,18.212509,17.000008,18.081259,7.910296,224799
1997-07-24,18.500010,18.500010,17.875008,18.068760,7.904826,169599
1997-07-25,17.718758,18.062510,17.637508,18.018759,7.882956,92799
1997-07-28,17.906258,18.125010,17.887508,18.025009,7.885684,59999
1997-07-29,17.987509,18.125010,17.625008,18.125010,7.929437,82399
1997-07-30,18.125010,18.293758,18.043758,18.200008,7.962247,92799
1997-07-31,18.125010,18.681259,18.125010,18.575008,8.126304,60799
1997-08-01,18.762508,19.237509,18.687510,19.062510,8.339579,93599
1997-08-04,19.718760,20.000010,18.500010,19.006260,8.314969,503199
1997-08-05,18.875010,19.750010,18.875010,19.500010,8.530977,151199
1997-08-06,19.868759,20.437510,19.662510,20.256260,8.861829,171999
1997-08-07,20.625010,22.287512,20.375010,21.825010,9.548133,810399
1997-08-08,21.750010,22.118761,21.500010,21.787510,9.531728,181599
1997-08-11,21.875010,21.875010,19.656260,20.818760,9.186976,190399
1997-08-12,21.500010,22.875011,21.250010,22.462511,9.912334,836799
1997-08-13,23.743761,23.750011,23.000011,23.118761,10.201928,677599
